Annual kilometers,State,Business Use,Financing,Gender,Date of Birth,Year,Make Model,Parking Location,Name,Age,Number of Claims,Payment Frequency,Hire Car,Sum Insured Value Type,Sum Insured Amount,Liability Premium
15001-20000 kms,"ACT, Tasmania and NT*",Business,Yes,Female,1954-01-26,2018,Ford Focus,Garage,Name_437,72,5,Annual,No,Market Value,90048,963.0
5001-10000 kms,South Australia,Business,No,Female,1982-08-28,2013,Toyota Corolla,Street,Name_114,39,1,Annual,Yes,Agreed Value,91255,1097.0
0-5000 kms,New South Wales,Business,Yes,Male,1991-07-02,2021,Dodge Ram,Street,Name_132,31,2,Annual,No,Agreed Value,46098,1152.0
> 20000 kms,New South Wales,Rideshare,No,Female,1962-09-09,2004,Dodge Ram,Carport,Name_889,63,0,Annual,Yes,Market Value,97453,1516.0
10001-15000 kms,"ACT, Tasmania and NT*",Rideshare,No,Male,1946-05-03,2007,Honda Civic,Street,Name_628,78,0,Monthly,Yes,Agreed Value,73997,736.0
> 20000 kms,Victoria,Rideshare,No,Male,1945-03-02,2009,Toyota Corolla,Driveway,Name_293,79,1,Monthly,Yes,Agreed Value,19808,1033.0
15001-20000 kms,New South Wales,Private,No,Male,1982-04-14,2000,Toyota Corolla,Garage,Name_402,40,0,Monthly,Yes,Market Value,52063,1326.0
10001-15000 kms,Victoria,Business,No,Female,1948-09-22,2019,Toyota Corolla,Carport,Name_614,74,4,Annual,No,Agreed Value,51571,869.0
> 20000 kms,Victoria,Private,Yes,Male,1978-11-18,2016,Toyota Corolla,Garage,Name_909,46,5,Annual,No,Agreed Value,16862,1257.0
> 20000 kms,Victoria,Rideshare,No,Male,1980-07-25,2005,Ford Focus,Carport,Name_500,45,5,Monthly,No,Market Value,13286,1495.0
10001-15000 kms,New South Wales,Business,Yes,Female,1948-06-16,2003,Toyota Corolla,Street,Name_61,73,3,Annual,Yes,Agreed Value,38811,1058.0
15001-20000 kms,"ACT, Tasmania and NT*",Private,Yes,Male,2001-07-23,2003,Honda Civic,Carport,Name_551,22,2,Annual,No,Market Value,49631,1404.0
5001-10000 kms,Western Australia,Business,No,Male,1966-04-23,2006,Honda Civic,Driveway,Name_573,55,4,Monthly,Yes,Agreed Value,24675,849.0
> 20000 kms,Western Australia,Rideshare,Yes,Female,1958-12-15,2015,Ford Focus,Garage,Name_494,64,3,Monthly,No,Market Value,50894,892.0
> 20000 kms,Victoria,Business,Yes,Female,1983-03-03,2020,Toyota Corolla,Driveway,Name_322,39,1,Monthly,No,Market Value,73949,1677.0
0-5000 kms,Victoria,Private,Yes,Male,1978-11-03,2016,Ford Focus,Carport,Name_644,44,5,Annual,Yes,Agreed Value,85730,629.0
5001-10000 kms,Western Australia,Private,No,Female,1941-07-28,2013,Honda Civic,Driveway,Name_76,83,2,Annual,Yes,Market Value,71300,465.0
0-5000 kms,Queensland,Business,No,Male,1953-08-11,2022,Toyota Corolla,Driveway,Name_575,72,3,Monthly,No,Agreed Value,23206,524.0
5001-10000 kms,Western Australia,Business,Yes,Male,1989-07-31,2014,Toyota Corolla,Driveway,Name_720,34,5,Monthly,No,Agreed Value,57674,979.0
15001-20000 kms,Western Australia,Business,No,Female,1961-04-05,2008,Honda Civic,Street,Name_270,65,0,Monthly,Yes,Agreed Value,50522,1143.0
> 20000 kms,Victoria,Rideshare,No,Male,1979-08-06,2010,Dodge Ram,Carport,Name_287,46,4,Annual,Yes,Market Value,20645,1509.0
0-5000 kms,Victoria,Rideshare,No,Female,1975-09-28,2016,Dodge Ram,Street,Name_403,48,3,Monthly,No,Market Value,92705,725.0
15001-20000 kms,Queensland,Rideshare,No,Male,1942-12-08,2006,Toyota Corolla,Garage,Name_161,83,3,Monthly,Yes,Agreed Value,51022,786.0
0-5000 kms,"ACT, Tasmania and NT*",Business,Yes,Female,1951-05-20,2013,Honda Civic,Driveway,Name_713,72,3,Monthly,Yes,Agreed Value,66743,550.0
5001-10000 kms,"ACT, Tasmania and NT*",Business,No,Male,2003-03-02,2023,Dodge Ram,Street,Name_252,21,0,Monthly,No,Agreed Value,43328,1404.0
15001-20000 kms,South Australia,Rideshare,Yes,Female,1976-11-19,2026,Ford Focus,Carport,Name_72,47,5,Monthly,Yes,Agreed Value,28730,1329.0
